,element_pair,count,mean,median,std,min,max,range,Q1,Q3,IQR
19,Ba-Cl,2,8.695678593532332,8.695678593532332,0.7230343774430557,8.184416082211353,9.206941104853309,1.0225250226419558,8.440047337871842,8.95130984919282,0.511262511320977
20,Bi-Br,6,2.1141242259873616,2.1727076323052046,0.40808012748991723,1.6319784046305772,2.666300606314723,1.0343222016841458,1.7703074563501398,2.346834670078807,0.5765272137286672
21,Bi-Cl,6,2.288889658015555,2.364822627261778,0.515185493338892,1.6758524104962518,2.9797205647901945,1.3038681542939428,1.852791868808127,2.5907092335352577,0.7379173647271307
22,Bi-I,6,1.6757469596304126,1.710017721549689,0.23991069176216098,1.4016523210949021,2.0419783102380995,0.6403259891431974,1.4860427147609458,1.762077908526471,0.2760351937655252
23,Bi-O,1,1.1860031018775041,1.1860031018775041,,1.1860031018775041,1.1860031018775041,0.0,1.1860031018775041,1.1860031018775041,0.0
24,Bi-S,6,2.3806162954382923,2.4313865714699077,0.4468334951843597,1.7329251483469221,2.9797205647901945,1.2467954164432724,2.1153351532617712,2.6315673198877993,0.5162321666260281
25,Bi-Se,6,2.1056101094508457,2.106143688097075,0.35252001772344355,1.687110294752456,2.6118231578446673,0.9247128630922112,1.8313490170091464,2.3135526979747425,0.48220368096559607
26,Bi-Te,6,1.5925344387441909,1.6539154075634146,0.14511197426370584,1.4016523210949021,1.7362965604386607,0.33464423934375853,1.4722597422304762,1.6867681634047966,0.21450842117432045
27,Br-Ca,2,8.022392291790906,8.022392291790906,0.616101141140482,7.586742996993701,8.458041586588111,0.8712985895944101,7.8045676443923035,8.240216939189509,0.43564929479720504
28,Br-Cd,2,5.066060198167503,5.066060198167503,0.5913675844437236,4.647900169033438,5.484220227301568,0.8363200582681305,4.85698018360047,5.275140212734536,0.41816002913406614
29,Br-Cl,3,1.758874801785331,1.8777746550154282,0.2491857184340069,1.472509382204579,1.9263403681359859,0.4538309859314069,1.6751420186100034,1.902057511575707,0.22691549296570357
30,Br-Co,1,1.4009009239092507,1.4009009239092507,,1.4009009239092507,1.4009009239092507,0.0,1.4009009239092507,1.4009009239092507,0.0
31,Br-Cu,1,3.317619448513526,3.317619448513526,,3.317619448513526,3.317619448513526,0.0,3.317619448513526,3.317619448513526,0.0
32,Br-Fe,1,0.7591576216424405,0.7591576216424405,,0.7591576216424405,0.7591576216424405,0.0,0.7591576216424405,0.7591576216424405,0.0
33,Br-Ge,2,4.209202419422557,4.209202419422557,0.11138987529547245,4.130437883245604,4.28796695559951,0.15752907235390534,4.169820151334081,4.248584687511033,0.07876453617695223
