,natoms,thickness,number,lgnum,energy,hform,ehull,minhessianeig,gap,gap_dir,gap_dir_nosoc,vbm,cbm,efermi,evac,evacdiff,emass_cbm,emass_vbm,gap_hse,gap_dir_hse,vbm_hse,cbm_hse,efermi_hse,gap_dir_gw,vbm_gw,cbm_gw,efermi_gw,dipz,alphax,alphay,alphaz,alphax_el,alphay_el,alphaz_el,alphax_lat,alphay_lat,alphaz_lat,plasmafrequency_x,plasmafrequency_y,dE_zx,dE_zy,E_B,gap_gw
lgnum,-0.3199513306259871,0.21313044237495268,0.993225990771142,1.0,0.012263919586248145,-0.2801636098441506,0.12218821901141218,-0.1311987704096276,0.12728187190900273,0.1401565826579799,0.13041223698125604,-0.20857682993665427,-0.09258916162957616,-0.18048760566588978,0.18249215881235265,-0.03576207288573738,0.06611146001728498,0.1213048674871236,0.14217681680337127,0.15120110643959986,-0.1758043573461081,-0.0462842057462415,-0.11525800886393277,0.16598404337678752,-0.18920907084311234,-0.004165485041821899,-0.12870437750491556,-0.04197239445523285,-0.0192560268934774,-0.17150796041053437,0.13180223924791176,-0.042468864739001556,-0.0471717684639609,0.08054885268799386,-0.01747331392000736,-0.16730773619515144,0.11845460554532583,0.04061807855857206,0.040618078558572066,-0.004135508510221623,-0.004128101598142595,0.16199186761616996,0.16056820158342014
energy,-0.43468248401444454,-0.0806524813427773,0.008442220211876066,0.012263919586248145,1.0,0.3659519068135362,-0.17600724158551762,0.1467915824010224,0.18762069320956998,0.17991619671530215,0.26920572468083626,-0.06361096836588075,0.13771877004510105,0.03651791433876893,-0.4512149689915054,0.20186912804090767,0.027477907004868622,-0.13146352709573464,0.12716226309102852,0.11794318409889352,-0.07623327918266216,0.06781433004738957,-0.03555086466706377,0.16914879347201164,-0.16916775579316623,0.04786782365449894,-0.0793397906573521,0.18536073896384278,-0.04332403124399943,-0.03854293077640072,0.00582838846475717,-0.3722683286272224,-0.3668755218100138,-0.06033461871353601,-0.041272740426852444,-0.030263716023467464,0.1375689453007328,-0.17238163488669037,-0.17238163488669034,0.009743903723948531,0.010045338102190576,0.06573832994084346,0.17419489159593005
hform,0.04236317228575523,-0.007439953574711907,-0.2839686392991468,-0.2801636098441506,0.3659519068135362,1.0,0.07008008877909701,0.2176819412566783,-0.5161091644001581,-0.555274844665205,-0.5065662574760051,0.4336320725557334,-0.08798732334721336,0.22048611921045905,0.0012832696356146877,0.0918941040090245,-0.14532058616621868,-0.1803465909446846,-0.5522564056757303,-0.5895226809835008,0.42322021380117575,-0.17028396892941453,0.04623291238672171,-0.5866420150684762,0.4665988141927704,-0.27032951117393017,0.14988155899755465,0.09422808211642911,-0.044196212775999465,0.04093720536990252,0.13659626496344618,0.27093287460297966,0.27061811767322763,0.26148932334784075,-0.04916762092918164,0.020369001497777633,-0.5096083271873321,0.04835280126142193,0.04835280126142192,0.001639317867371181,0.0019704398241036244,-0.5094085690374947,-0.5625845867304179
ehull,-0.050022149061201844,-0.1474631391053801,0.13465850236345892,0.12218821901141218,-0.17600724158551762,0.07008008877909701,1.0,-0.40099755852519187,-0.1506048390121153,-0.17435170432660205,-0.2245095431016074,-0.03271717381989786,-0.20475639741536555,-0.13326753257472065,-0.03027523805620791,-0.09403917491053976,0.01707910301568941,0.17434349861504236,-0.11048463541692309,-0.13709940416136857,-0.03613798266237148,-0.1969389164641261,-0.1240966454612903,-0.1214334761268142,-0.0018244447678928207,-0.17964175253870054,-0.09970484897570493,-0.1226277826231534,-0.0011846983553422796,-0.04514169650030246,-0.07110278427053997,0.2715130509556589,0.27025319373012585,-0.11636818454129226,-0.003010154203763601,-0.05390854570323165,-0.025030380910347802,0.13424362517822594,0.13424362517822594,-0.10241333229188353,-0.10167151882366177,0.05219834367909547,-0.10509543826914641
minhessianeig,0.03409366495689116,0.08318305592585701,-0.13940946177796754,-0.1311987704096276,0.1467915824010224,0.2176819412566783,-0.40099755852519187,1.0,-0.023869736583326244,-0.021866130646082015,0.00441878866157737,0.2668149344612383,0.2734107992978113,0.3163832335906578,-0.015332156670977266,0.012686478504723804,-0.021434652478527477,-0.01284758041803521,-0.10367963337391975,-0.09960773218818252,0.27083387282305604,0.2260472103956751,0.2842671793155056,-0.09164890559943148,0.23009430365903333,0.16935932414942279,0.27924991268263655,0.02073686445349975,0.019794647999602476,0.04010064761387026,0.014222987258926916,0.035583862715661496,0.03452248783692382,0.13816789683346853,0.020273674288741262,0.04303244116523295,0.05250300851189897,-0.0032038995232657533,-0.0032038995232657533,0.004659210894379794,0.004715568571542552,-0.19410769261557184,-0.0977103427092482
gap,-0.13567905565901553,-0.15694902576058928,0.11694734087112464,0.12728187190900273,0.18762069320956998,-0.5161091644001581,-0.1506048390121153,-0.023869736583326244,1.0,0.9815566051138106,0.9439432886354335,-0.6013491081436074,0.4390625240090136,-0.13084273456560336,-0.40360579947171576,-0.01085294785271115,0.04140393949886148,0.19021764002506655,0.9457959843624084,0.9301888478467164,-0.6213221043153863,0.43114799684801,0.014582561382395855,0.9541835332136428,-0.7379276512666318,0.5597495237844498,-0.16468391948656824,-0.027035247783821978,-0.08255558792294795,-0.13134525531206823,-0.20100263048426587,-0.42102011951604634,-0.41631519970995184,-0.3669426453336878,-0.0752401867213893,-0.10150321241480596,0.6622937517098623,-0.0657379367095879,-0.0657379367095879,-0.029514151524319562,-0.029742519709847128,0.6640268414289016,0.9682404515320442
gap_dir,-0.1619212328282421,-0.1620774866309367,0.13272582410936665,0.1401565826579799,0.17991619671530215,-0.555274844665205,-0.17435170432660205,-0.021866130646082015,0.9815566051138106,1.0,0.9549393996890728,-0.5968810267849448,0.42351737004109763,-0.1366473399877616,-0.38774570277991144,0.004368480639574098,0.03747453971500229,0.1728043833908226,0.925977701358251,0.9422209799696442,-0.615557665212206,0.41233283333223464,0.00788806613717737,0.9663641597464291,-0.7376508612857228,0.5442585407813807,-0.17253614690784877,-0.014897208100532053,-0.0954709927084004,-0.15070353177609846,-0.20448216282754278,-0.4463455368620859,-0.44233843744417845,-0.3710460284497007,-0.08791198418491952,-0.11989983528383993,0.6613957510698859,-0.07547606966845226,-0.07547606966845227,-0.02194209519106191,-0.02221423548264655,0.6661851784658464,0.9588037155649168
gap_dir_nosoc,-0.19484777835094189,-0.11298603262265476,0.12191634901937214,0.13041223698125604,0.26920572468083626,-0.5065662574760051,-0.2245095431016074,0.00441878866157737,0.9439432886354335,0.9549393996890728,1.0,-0.6074820348108734,0.3696473253119142,-0.17294583293855792,-0.39375102508591936,0.09352690553624242,0.08556559970219393,0.13275933447897453,0.8803244858097156,0.8897523944744542,-0.6192324474602201,0.3461335611249024,-0.04045389718797764,0.9288390234062947,-0.7529745685965756,0.4680956605042468,-0.22676607104048274,0.08712960208719887,-0.10824945327996263,-0.1397043684349769,-0.15859004348027633,-0.4785320283231558,-0.4744550497346697,-0.3304019406512113,-0.1003406051768657,-0.10718780470582935,0.697372142060174,-0.08945277793459316,-0.08945277793459318,-0.0267702596835716,-0.027088289971376054,0.6057536508023772,0.926784218473731
vbm,0.15805606650267542,0.14545602580844724,-0.2129967170695044,-0.20857682993665427,-0.06361096836588075,0.4336320725557334,-0.03271717381989786,0.2668149344612383,-0.6013491081436074,-0.5968810267849448,-0.6074820348108734,1.0,0.45382466539468097,0.8707997739157716,0.31415006787646044,-0.15916231200949285,-0.1188920676925838,-0.20514218556775748,-0.6569401326201175,-0.6531804750302482,0.9764334595711532,0.43511787465004365,0.7229314369707929,-0.659542534663243,0.9602282192478105,0.2732344107056353,0.8069648670683975,-0.14837967776627004,-0.04434071027589792,0.06891670324944955,0.14358103770720734,0.3737543355263068,0.37733509796552833,0.31983293643633026,-0.05067588786870213,0.04251636048239604,-0.48810826400472673,0.017035694579321123,0.017035694579321123,0.0397822488904502,0.0397925913444127,-0.5646209752038509,-0.6651883355872124
cbm,0.026413611732727535,-0.0114769805924289,-0.10908516726682785,-0.09258916162957616,0.13771877004510105,-0.08798732334721336,-0.20475639741536555,0.2734107992978113,0.4390625240090136,0.42351737004109763,0.3696473253119142,0.45382466539468097,1.0,0.8332844604292508,-0.0968718911827094,-0.19108132701045966,-0.08740855306941747,-0.01783303872370937,0.3160981910257847,0.30291963102098807,0.4050487796581016,0.9701374113760919,0.8291966595024484,0.322526240763779,0.2567785977332764,0.9315265051251517,0.723760112883821,-0.19700404858443094,-0.14193325800839315,-0.06898980406112959,-0.06271736037173883,-0.0492689546295149,-0.03999511576815962,-0.04959196563711245,-0.14089843858502057,-0.06539472895986259,0.18976537937156707,-0.05415943720007756,-0.05415943720007756,0.011818506266920098,0.011575442564330818,0.10566006329354476,0.3318549188624744
efermi,0.11263311248349815,0.08391066855781162,-0.19233103189294995,-0.18048760566588978,0.03651791433876893,0.22048611921045905,-0.13326753257472065,0.3163832335906578,-0.13084273456560336,-0.1366473399877616,-0.17294583293855792,0.8707997739157716,0.8332844604292508,1.0,0.1414560818081103,-0.20417085601269894,-0.12215632075668484,-0.13737495191377555,-0.2331747162268046,-0.23811312621996708,0.8292678742538819,0.8052025653424797,0.906005211826354,-0.231242759974243,0.7374094585295503,0.6834653244611822,0.8999685919760351,-0.20074888705715663,-0.10581778400745158,0.004693371231331074,0.05447676588291111,0.20469911084136544,0.21203727798116415,0.17106735866480124,-0.10917727425015722,-0.009702250056005064,-0.19813028668626237,-0.01931198776576617,-0.019311987765766165,0.03120199957509278,0.03107431167106925,-0.2920028362111552,-0.22959861676685778
