formula,natoms,energy,number,has_inversion_symmetry,lgnum,layergroup,bravais_type,thickness,evac,dipz,minhessianeig,dyn_stab,alphax_el,alphay_el,alphaz_el,alphax_lat,alphax,alphay_lat,alphay,alphaz_lat,alphaz,emass_cbm,emass_vbm,is_magnetic,spin_axis,dE_zx,dE_zy,ehull,hform,is_ferroelectric,P_spontaneous_norm,J,lam,A,spin,N_nn,topology,plasmafrequency_x,plasmafrequency_y,halfmetal_gap,halfmetal_gap_dir,gap_gw,vbm_gw,cbm_gw,efermi_gw,E_B,num_elements,element_1,element_2,element_3
ZrO2,3,-27.54775594606739,164,1,72,0,0,1.9226639448631566,3.1817799223269034,-3.3603237441842755e-14,-3.7468887013303063e-16,1,1.4018644589829272,1.401864458982927,0.21541608630861567,10.745092381074494,12.146956840057422,10.895845291044472,12.297709750027398,0.07485073594068672,0.2902668222493024,1.384024972119794,1.9144945955206731,0,2,0.0,0.0,0.21655976245711983,-3.298749787181709,0,,,,,,,0,0.0,0.0,,,7.722003211669808,-9.429003150920277,-1.7069999392504693,-5.568001545085373,2.1042783602646558,2,Zr,O,
ZrCl2,3,-16.088364071566033,187,0,78,1,0,3.4157984398376016,3.9185115604640144,4.880645864504854e-14,-2.0113959521897178e-14,1,5.127330200395246,5.127330200395245,0.3562965225951452,0.2128822512696062,5.340212451664852,0.21618575474204363,5.343515955137288,0.010308053725757075,0.36660457632090226,1.0073714237610798,0.43126653322191766,0,2,0.0,0.0,0.0,-1.7050652402350515,0,,,,,,,0,0.0,0.0,,,1.9926315565514572,-4.43020508896471,-2.4375735324132526,-3.4861161287549334,0.9094423908270558,2,Zr,Cl,
CdBr2,3,-6.805098161149914,164,1,72,0,0,3.13321570143189,2.9434060961212527,-1.7013945152921929e-15,-8.375985564381945e-14,1,1.510006494115922,1.510006494115924,0.3464862922683195,3.2934658957421195,4.803472389858041,3.2933060998818884,4.803312593997813,0.0536045675476756,0.4000908598159951,0.3904895397311922,0.7991005328651165,0,2,0.0,0.0,0.0,-0.9028809709696025,0,,,,,,,0,0.0,0.0,,,5.484220227301568,-8.904231558333624,-3.420011331032057,-6.162121444682841,1.2824661710316358,2,Cd,Br,
CdBr2,3,-6.441146414046291,187,0,78,1,0,3.4750430541799773,3.1490861964396206,4.993330312710576e-14,-0.5395211140263622,0,1.6670447820585652,1.667044782058568,0.37890922710607927,,,,,,,0.3564397508187694,0.811360847890416,0,2,0.0,0.0,0.12131724903454089,-0.7815637219350616,0,,,,,,,0,0.0,0.0,,,4.647900169033438,-8.705812135195146,-4.057911966161707,-6.38186205067367,1.1231819781302073,2,Cd,Br,
MgI2,3,-7.815412525590119,164,1,72,0,0,3.3486353133357305,3.19389782784099,2.981501581540616e-14,-5.547793361626025e-16,1,1.6373933042341389,1.6373933042341349,0.39074701370574544,2.907593518799625,4.544986823033764,2.9615896042669374,4.598982908501072,0.05161808999844147,0.4423651037041869,0.4491153617874237,0.49557444559445174,0,2,0.0,0.0,0.0012461386178583094,-1.0803931844256256,0,,,,,,,0,0.0,0.0,,,5.743984333579279,-7.746660848243613,-2.0026765146643344,-6.310664764848793,1.0978574510702535,2,Mg,I,
MgI2,3,-7.33869052826095,187,0,78,1,0,3.6972458413515668,3.350477635947505,-1.8268010614389753e-12,-0.38996891931794686,0,1.7663446000406937,1.7663446000406953,0.4227004857495336,,,,,,,0.5722130110374384,0.451913199120521,0,2,0.0,0.0,0.16015347106091463,-0.9214858519825692,0,,,,,,,0,0.0,0.0,,,4.921077336162822,-7.308145361822351,-2.387068025659529,-4.847606693738423,0.9182760097356701,2,Mg,I,
HfCl2,3,-15.696102207835901,187,0,78,1,0,3.4599141836685092,4.035370111961512,-9.424632323320708e-13,-1.6867456522349848e-15,1,4.3666701074707985,4.366670107470802,0.355142486488411,0.39769700775630534,4.764367115227104,0.3949851534352501,4.7616552609060525,0.01059161752017844,0.36573410400858947,0.7801494122346229,0.37649406150632436,0,2,0.0,0.0,0.00681337844221197,-1.539937580898431,0,,,,,,,0,0.0,0.0,,,2.0915107901850156,-4.373244361870824,-2.281733571685808,-3.3702163817308683,0.9136897516752635,2,Hf,Cl,
YCl2,3,-14.406901848432268,187,0,78,1,0,3.4349399332357526,3.476343455010591,3.40217550389673e-14,4.577744159151995e-16,1,2.6142605153876546,2.614260515387667,0.33758945505634447,1.4668297540453985,4.081090269433053,1.4505464122017635,4.06480692758943,0.03773473871121139,0.3753241937675559,2.2552270428548926,1.9106904235906983,1,2,-0.0006862205736979377,-0.000672952921831893,0.045503871077878934,-2.048398206976501,0,,16.388483150421962,-0.004063548923719888,0.0,0.5,6.0,0,0.0,0.0,,,1.8521282846701212,-4.76292710717964,-2.910798822509519,-3.8368629648445793,0.6726637548168217,2,Y,Cl,
SnO2,3,-18.94794544507251,164,1,72,0,0,2.0179246493448275,3.254155036357574,4.118130931821184e-14,-6.349167790895152e-15,1,1.231926539657258,1.2319265396572574,0.22750017955995475,2.2595077757964876,3.4914343154537457,2.2583158667124312,3.4902424063696884,0.05146078570841251,0.2789609652683673,0.3658440138813825,3.7396674071359133,0,2,0.0,0.0,0.1509950331367366,-1.5477170216558218,0,,,,,,,0,0.0,0.0,,,5.444250711973135,-10.128391527792166,-4.684140815819032,-7.4062661718055995,1.8233710254403865,2,Sn,O,
SnO2,3,-17.466011523103656,187,0,78,1,0,2.4549643963676786,3.6397423518213254,3.1353584715773806e-14,-0.24911720257665684,0,1.8405318470593337,1.8405318470593353,0.262170979654718,,,,,,,0.30713162101335145,7.139500844520791,0,2,0.0,0.0,0.6449730071263543,-1.0537390476662043,0,,,,,,,0,0.0,0.0,,,2.87076470879885,-9.918580804727732,-7.047816095928882,-8.0547388731474,1.6500327951651224,2,Sn,O,
VCl2,3,-15.61483467619956,164,1,72,0,0,2.66201033687039,3.054629006385678,1.9047549380269242e-10,-9.985969159358705e-16,1,1.4538729051836488,1.453872905183649,0.28699991970745564,0.7759465233618749,2.2298194285455235,0.7746230280901405,2.2284959332737895,0.027648603242383118,0.31464852294983875,1.321483544453118,8.291569600269202,1,2,-0.03316948016163224,-0.03360041830546834,0.0,-1.1735352291508725,0,,-5.116448442638305,-0.0009658953609282939,0.02698627855579616,1.5,6.0,0,0.0,0.0,,,3.4585896552511963,-5.2096342802173545,-1.751044624966158,-3.4803394525917564,3.8265313134300456,2,V,Cl,
