,element_pair,count,mean,median,std,min,max,range,Q1,Q3,IQR
11,Bi-Te,6,0.4731529354689596,0.4662032315472222,0.015750856338605405,0.45702328849559465,0.49450631535635775,0.0374830268607631,0.463814303800878,0.4855234713732536,0.021709167572375565
12,Br-S,6,0.8465773693887472,0.8122459768564162,0.11461615309476791,0.7422855988474464,1.0594986946602072,0.3172130958127608,0.7790912954669075,0.8669226697952984,0.08783137432839094
13,Br-Sb,6,0.7893271088777877,0.8219080366694851,0.19897527675263402,0.5529151915829285,1.0594986946602072,0.5065835030772787,0.6211670214495304,0.8995865171486769,0.2784194956991465
14,Br-Se,6,0.7688552011653301,0.7392800529930412,0.09142675563163492,0.6649671513139872,0.9054547731210263,0.2404876218070391,0.7147985958280988,0.8279533130965859,0.11315471726848714
15,Br-Te,6,0.5312805186182771,0.539905700701348,0.04971722247209698,0.45702328849559465,0.585246322126203,0.12822303363060833,0.5002171867961236,0.568937238318427,0.06872005152230343
16,Cl-S,6,0.9797721362451751,0.9557875851810118,0.1526865790364988,0.788293472836082,1.2517512322034987,0.46345775936741673,0.9254620352680152,0.9976914638745751,0.0722294286065599
17,Cl-Sb,6,0.8726543756206583,0.8774705697953775,0.2805598946698079,0.566209381399347,1.2517512322034987,0.6855418508041518,0.6246885501495719,1.0613151101458782,0.4366265599963063
18,Cl-Se,6,0.853464152232899,0.8040300149448251,0.12938316817723927,0.731349140289993,1.0936239444711675,0.3622748041811745,0.7906000101557132,0.8772288463766365,0.08662883622092321
19,Cl-Te,6,0.527331845188582,0.5290325627774436,0.06192068729223986,0.46365736674578495,0.6085829078054816,0.14492554105969668,0.471177772263503,0.5686027623942225,0.09742499013071948
20,Hf-Se,5,0.6665487249970607,0.4855631613945529,0.2924256414334218,0.39851809134131555,1.0209006960675457,0.6223826047262302,0.4821386850423758,0.9456229911395138,0.463484306097138
21,I-S,6,0.5134169261107879,0.48490035613021576,0.13924300088477382,0.3545250851962364,0.7517809104569767,0.3972558252607403,0.43437332297478215,0.561372991653638,0.12699966867885581
22,I-Sb,6,0.5288525205643418,0.48368773299128415,0.14065734106401184,0.38566866834643754,0.7517809104569767,0.36611224211053917,0.4360808858994264,0.6069805395462673,0.1708996536468409
23,I-Se,6,0.5267344841075398,0.5070580448311481,0.117381834392884,0.3546635519216331,0.6741595332193778,0.3194959812977447,0.4808079366520176,0.6108218831450052,0.1300139464929876
24,I-Te,6,0.4442841694239022,0.4715312897205809,0.06203012158711974,0.34805611174771134,0.49450631535635775,0.1464502036086464,0.40628183829189995,0.4895438140670272,0.08326197577512723
25,S-Sb,6,0.8888646111352138,0.9231851782008196,0.2834232006932493,0.42378647308896067,1.2517512322034987,0.827964759114538,0.7843311201506398,1.035721172787658,0.2513900526370183
26,S-Se,8,0.6443047720519227,0.5177045702840235,0.2306416821492644,0.44293603646103286,1.0209006960675457,0.5779646596065129,0.5006375494266349,0.7613174296108947,0.2606798801842598
27,S-Zr,5,0.7417695058223849,0.6332732665733525,0.32595217521212577,0.44293603646103286,1.1842085783627776,0.7412725419017447,0.4716898358540623,0.976739811860699,0.5050499760066367
28,Sb-Se,6,0.7781555506603687,0.776193428264043,0.2131431989404582,0.4729641243308236,1.0936239444711675,0.6206598201403439,0.6738362851601665,0.8767292129459558,0.20289292778578938
29,Sb-Te,6,0.5238138432672054,0.5595622864911377,0.07378026573955597,0.38566866834643754,0.5742779205635933,0.18860925221715574,0.5090373041345406,0.5686027623942225,0.05956545825968185
30,Se-Te,5,0.4669422302835919,0.4714757322731846,0.015503499099462584,0.4477518899748859,0.4855631613945529,0.037811271419667,0.454519493187714,0.47540087458762226,0.02088138139990825
31,Se-Zr,5,0.6383709439109111,0.4714757322731846,0.28530739158270635,0.3813052403153976,0.976739811860699,0.5954345715453014,0.44293603646103286,0.9193978986442418,0.47646186218320896
