formula,natoms,energy,number,has_inversion_symmetry,lgnum,layergroup,bravais_type,thickness,evac,dipz,minhessianeig,dyn_stab,alphax_el,alphay_el,alphaz_el,alphax_lat,alphax,alphay_lat,alphay,alphaz_lat,alphaz,emass_cbm,emass_vbm,is_magnetic,spin_axis,dE_zx,dE_zy,ehull,hform,is_ferroelectric,P_spontaneous_norm,J,lam,A,spin,N_nn,topology,plasmafrequency_x,plasmafrequency_y,halfmetal_gap,halfmetal_gap_dir,gap_gw,vbm_gw,cbm_gw,efermi_gw,E_B
SnS2,3,-12.557525316341145,187,0,78,1,0,3.228362532809033,3.784200018124422,1.2983267219756138e-14,-1.651854676304907,0,3.5612016959013326,3.561201695901335,0.3941461171293249,,,,,,,0.4423446623469239,0.570555681941966,0,2,0.0,0.0,0.2864884934524354,-0.1150411326754212,0,,,,,,,0,0.0,0.0,,,2.288278398597215,-7.48694508184094,-5.198666683243725,-6.465022600103477,1.1413265975841274
BiClSe,3,-11.984952410379057,156,0,69,3,0,3.285951030207068,3.0382447181015646,0.0503044044009447,-2.7489066486247963e-15,1,3.627158262170037,3.627158262170039,0.3765689624625336,11.332313820963197,14.959472083133234,10.79160805784635,14.418766320016388,0.03363279043517184,0.41020175289770544,1.1356931751195705,1.1904533868966438,0,2,0.0,0.0,0.0,-0.680957277554862,0,,,,,,,0,0.0,0.0,,,2.2022777939165263,-7.579521855162294,-5.377244061245767,-6.396064601651147,0.731349140289993
ISbTe,3,-9.47226852775072,156,0,69,3,0,4.011600531353912,3.84644103329309,0.0684201588562387,-4.401356504369125e-14,1,6.662125468597506,6.662125468597506,0.49563292334088865,10.206499448463548,16.868624917061055,10.154985591806964,16.81711106040447,0.02301420757456879,0.5186471309154574,2.76018684133222,0.3467990357223251,0,2,0.0,0.0,0.12259283051061054,-0.12762808205106838,0,,,,,,,0,0.0,0.0,,,1.7781870729901832,-6.0492246073761855,-4.271037534386002,-5.160131070881094,0.38566866834643754
ISbTe,3,-9.84004701928255,156,0,69,3,0,3.70528420023198,3.3489973838772737,0.04052949029914877,-7.332836595841424e-15,1,6.767971309407532,6.767971309407526,0.463175347776439,14.12367696075079,20.89164827015832,11.060252378542575,17.8282236879501,0.016300739176322403,0.4794760869527614,2.5480312454124694,1.0693263641822894,0,2,0.0,0.0,0.0,-0.25022091256167894,0,,,,,,,0,0.0,0.0,,,1.6763317600369703,-6.0727307217918725,-4.396398961754903,-5.234564841773388,0.4944113416517447
BiIS,3,-11.09084456830049,156,0,69,3,0,3.7833839866396852,3.756916597874618,-0.012043135305275685,-2.8259479067665223e-14,1,4.106626593132567,4.106626593132611,0.44789024280206896,7.684288050163351,11.790914643295919,7.6922838900229955,11.798910483155606,0.02745359793914631,0.4753438407412153,0.8462510483292698,0.33739583394809736,0,2,0.0,0.0,0.1396479356390993,-0.2867231048153596,0,,,,,,,1,0.0,0.0,,,1.7329251483469221,-6.831108484843497,-5.098183336496575,-5.964645910670036,0.5036668396281848
BiIS,3,-11.466652349514302,156,0,69,3,0,3.515235923109964,3.283309366480107,-0.03425168101740312,-3.485438126404662e-14,1,4.476415029013935,4.47641502901394,0.4216683628180349,14.17237910118144,18.648794130195373,14.176579853338675,18.652994882352615,0.02114257296979955,0.4428109357878344,3.4707723360207825,0.46315596830212263,0,2,0.0,0.0,0.014378675234495356,-0.4119923652199636,0,,,,,,,0,0.0,0.0,,,2.0419783102380995,-7.18800782981805,-5.14602951957995,-6.1369265950689025,0.5806083756621223
ClSbSe,3,-11.285436660988161,156,0,69,3,0,3.2478999218201494,3.058976793463008,0.06291029479474783,-7.963143632397495e-15,1,4.134008295215382,4.1340082952154,0.3784394686718192,22.00515113808725,26.13915943330263,22.050826656648304,26.184834951863706,0.028616540347664834,0.407056009019484,1.1987616362223967,0.992567183173119,0,2,0.0,0.0,0.0038446805991199096,-0.5371298873350039,0,,,,,,,0,0.0,0.0,,,2.403756881811299,-7.238080365435863,-4.834323483624564,-6.036201924530214,0.7905525324207446
AsITe,3,-9.717994882794184,156,0,69,3,0,3.463794444600784,3.3692496129534746,0.04411183892098585,-1.4467424377325042e-13,1,8.457448812870828,8.457448812870833,0.4522318799338834,17.965096643008636,26.422545455879465,17.94351325587974,26.400962068750573,0.012470082966548874,0.4647019629004323,2.087676457563124,0.5809005909666162,0,2,0.0,0.0,0.0,-0.12388348171167667,0,,,,,,,0,0.0,0.0,,,1.794577516976123,-6.005337040689957,-4.2107595237138336,-5.06924943712278,0.4749412313128746
ClSbTe,3,-10.360815520949135,156,0,69,3,0,3.64835847830682,3.5691415933584345,0.14093626632640638,-0.12390238141036683,0,5.059915297705099,5.059915297705085,0.4294381481473208,,,,,,,0.6670176101358806,0.3908850613452194,0,2,0.0,0.0,0.14469203235277264,-0.32158747493048406,0,,,,,,,0,0.0,0.0,,,2.3503167851553193,-6.901674484582446,-4.551357699427127,-5.868409523547431,0.566209381399347
ClSbTe,3,-10.794891618007453,156,0,69,3,0,3.3203070161673605,3.0886440028184676,0.10095715346526082,-9.414604268315285e-15,1,4.932315156771154,4.932315156771151,0.39697988247477284,19.51750332228476,24.449818479055914,19.548106184476588,24.480421341247737,0.03173149513517455,0.4287113776099474,0.17905622907058974,1.1398475281009537,0,2,0.0,0.0,0.0,-0.4662795072832567,0,,,,,,,0,0.0,0.0,,,2.3824329746395554,-6.9303772681599884,-4.547944293520434,-5.5244356181432694,0.569400556059181
